"No","Opening Date","Withdrawl Date","Days","Financial Year","Earnings.Type","Gross Earnings","Profit","Cut.Start","Cut.End"
116,16-Jan-00,10-Nov-03,1394,2004,"W",1124716.64,958809.6400,901000.0000,1000000.0000
4,20-Aug-01,11-Sep-02,387,2003,"S",60166.72,50334.0000,36000.0000,101000.0000
48,01-Sep-01,26-Mar-07,2032,2007,"S",122890,67860.7500,36000.0000,101000.0000
36,01-Sep-01,13-Apr-07,2050,2007,"S",214934.38,123366.6000,122000.0000,200000.0000
82,01-Sep-01,30-Sep-07,2220,2008,"S",142032,129248.1800,122000.0000,200000.0000
53,01-Sep-01,26-Mar-07,2032,2007,"S",309082,209590.6900,200000.0000,300000.0000
64,01-Sep-01,15-Feb-07,1993,2007,"S",5277334.66,3713741.8500,3370000.0000,4000000.0000
117,03-Oct-01,16-Sep-03,713,2004,"S",22997,22436.0000,0.0000,30000.0000
118,12-Oct-01,08-Oct-03,726,2004,"S",395246,216249.3200,200000.0000,300000.0000
1,12-Oct-01,01-Nov-02,385,2003,"S",871057.82,676003.8200,550000.0000,800000.0000
42,23-Oct-01,31-Aug-06,1773,2007,"S",9602649,5662186.5200,4700000.0000,6120000.0000
35,25-Oct-01,22-Aug-06,1762,2007,"S",123658,27448.5800,0.0000,30000.0000
10,25-Oct-01,15-Nov-02,386,2003,"W",88319.41,64735.6500,36000.0000,101000.0000
119,15-Nov-01,14-May-04,911,2004,"S",255165,157577.0000,122000.0000,200000.0000
65,21-Nov-01,10-Dec-08,2576,2009,"W",2756650,-1533211.4700,-1533000.0000,-2012000.0000
12,22-Nov-01,24-Feb-03,459,2003,"S",1522062,929419.0000,901000.0000,1000000.0000
2,09-Dec-01,30-Mar-02,111,2002,"S",2280715.51,1399994.0000,1109000.0000,1533000.0000
7,14-Dec-01,12-Feb-03,425,2003,"WD",0,-2227.5000,0.0000,-20000.0000
5,19-Dec-01,01-Aug-02,225,2003,"WD",0,-10917.4300,0.0000,-20000.0000
67,19-Dec-01,02-Nov-07,2144,2008,"S",2610451,1655269.0000,1650000.0000,2000000.0000
62,21-Jan-02,01-Feb-09,2568,2009,"S",6968080,4770866.5900,4700000.0000,6120000.0000
13,10-May-02,09-Oct-02,152,2003,"S",13091500,8754273.0000,8000000.0000,9000000.0000
3,30-May-02,12-Jun-02,13,2002,"S",30000,30000.0000,0.0000,30000.0000
6,06-Jun-02,11-Dec-02,188,2003,"S",178407.19,47932.8900,36000.0000,101000.0000
14,06-Jun-02,24-May-04,718,2004,"S",102698.82,101120.8200,36000.0000,101000.0000
30,15-Aug-02,07-Aug-06,1453,2007,"S",161677,-126850.7900,-110000.0000,-196000.0000
29,29-Aug-02,23-Nov-05,1182,2006,"S",1311925.04,985940.0800,901000.0000,1000000.0000
9,24-Jan-03,11-Jun-03,138,2003,"S",527994,426637.4700,364000.0000,500000.0000
